year,region,pricing_regime,mandate_fraction,penalty_usd_per_mt_saf,carbon_tax_usd_per_tco2,lifecycle_ci_reduction_tco2_per_mt_saf,jet_fuel_usd_per_mt,saf_green_premium_usd_per_mt,margin_fraction
2025,EU,regulated_refueleu,0.02,800,50,2.5,620,0,0.1
2025,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2025,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2025,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2025,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2025,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2026,EU,regulated_refueleu,0.02,810,55,2.5,620,0,0.1
2026,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2026,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2026,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2026,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2026,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2027,EU,regulated_refueleu,0.03,820,60,2.5,620,0,0.1
2027,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2027,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2027,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2027,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2027,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2028,EU,regulated_refueleu,0.04,830,65,2.5,620,0,0.1
2028,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2028,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2028,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2028,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2028,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2029,EU,regulated_refueleu,0.05,840,70,2.5,620,0,0.1
2029,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2029,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2029,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2029,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2029,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2030,EU,regulated_refueleu,0.06,850,75,2.5,620,0,0.1
2030,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2030,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2030,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2030,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2030,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2031,EU,regulated_refueleu,0.08,860,80,2.5,620,0,0.1
2031,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2031,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2031,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2031,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2031,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2032,EU,regulated_refueleu,0.1,870,85,2.5,620,0,0.1
2032,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2032,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2032,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2032,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2032,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2033,EU,regulated_refueleu,0.14,880,90,2.5,620,0,0.1
2033,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2033,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2033,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2033,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2033,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2034,EU,regulated_refueleu,0.17,890,95,2.5,620,0,0.1
2034,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2034,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2034,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2034,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2034,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2035,EU,regulated_refueleu,0.2,900,100,2.5,620,0,0.1
2035,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2035,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2035,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2035,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2035,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2036,EU,regulated_refueleu,0.22,910,105,2.5,620,0,0.1
2036,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2036,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2036,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2036,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2036,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2037,EU,regulated_refueleu,0.24,920,110,2.5,620,0,0.1
2037,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2037,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2037,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2037,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2037,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2038,EU,regulated_refueleu,0.26,930,115,2.5,620,0,0.1
2038,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2038,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2038,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2038,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2038,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2039,EU,regulated_refueleu,0.3,940,120,2.5,620,0,0.1
2039,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2039,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2039,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2039,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2039,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2040,EU,regulated_refueleu,0.34,950,125,2.5,620,0,0.1
2040,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2040,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2040,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2040,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2040,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2041,EU,regulated_refueleu,0.36,960,130,2.5,620,0,0.1
2041,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2041,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2041,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2041,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2041,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2042,EU,regulated_refueleu,0.38,970,135,2.5,620,0,0.1
2042,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2042,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2042,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2042,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2042,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2043,EU,regulated_refueleu,0.4,980,140,2.5,620,0,0.1
2043,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2043,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2043,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2043,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2043,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2044,EU,regulated_refueleu,0.41,990,145,2.5,620,0,0.1
2044,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2044,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2044,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2044,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2044,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
2045,EU,regulated_refueleu,0.42,1000,150,2.5,620,0,0.1
2045,US,voluntary_cost_plus,0.0,0,0,2.5,590,200,0.1
2045,APAC,voluntary_cost_plus,0.0,0,0,2.5,600,150,0.1
2045,MENA,voluntary_cost_plus,0.0,0,0,2.5,550,150,0.1
2045,LATAM,voluntary_cost_plus,0.0,0,0,2.5,580,150,0.1
2045,ROW,voluntary_cost_plus,0.0,0,0,2.5,610,150,0.1
