year,total_demand_mt,total_produced_mt,total_traded_mt,market_balanced,expansion_triggered,expansion_npv_usd_m
2025,0.759545,0.8783951,0.07986,True,True,0.001
2026,1.066826,1.10507565,0.0040002,True,True,0.001
2027,1.51784426,1.5238443000000002,0.00100025,True,True,0.001
2028,2.19174576,2.1977463999999998,0.00100003,True,True,0.002
2029,3.2074178399999997,3.2134173499999994,0.0009998,True,True,0.004
2030,4.731250000000001,4.7372489,0.0,True,True,0.006
2031,6.612485959999999,6.618486750000001,0.00100042,True,True,0.007
2032,9.15452068,9.160520550000001,0.00199985,True,True,0.01
2033,12.523365079999998,12.5293638,0.0029996099999999998,True,True,0.015
2034,16.940831250000002,16.946831650000004,0.00300045,True,True,0.021
2035,22.712965000000004,0.0,0.0,False,True,0.0
2036,26.442535999999997,0.0,0.0,False,True,0.0
2037,30.659070219999997,0.0,0.0,False,True,0.0
2038,35.46156247,0.0,0.0,False,True,0.0
2039,40.956645,0.0,0.0,False,True,0.0
2040,47.26184,0.0,0.0,False,True,0.0
2041,51.28775254,0.0,0.0,False,True,0.0
2042,55.63398976,0.0,0.0,False,True,0.0
2043,60.34041140000001,0.0,0.0,False,True,0.0
2044,65.44475116,0.0,0.0,False,True,0.0
2045,70.9808,0.0,0.0,False,True,0.0
